time,pos_w_x,pos_w_y,pos_w_z,vel_w_x,vel_w_y,vel_w_z,ang_vel_b_x,ang_vel_b_y,ang_vel_b_z,quat_b_to_w_w,quat_b_to_w_x,quat_b_to_w_y,quat_b_to_w_z,F_net_w_x,F_net_w_y,F_net_w_z,Tau_b_x,Tau_b_y,Tau_b_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7271067811865476,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0002788442678595349,0.0,-0.009015111537707144,0.027884426785953487,0.0,-0.9015111537707143,0.0,0.0,0.0,0.7168976310415435,0.0,0.6971784467458982,0.0,2.7884426785953487,0.0,-90.15111537707143,0.0,0.0,0.0
0.02,-0.00015920675154982715,0.0009983341664682815,-0.026973405159553702,-0.0438051019409362,0.09983341664682815,-1.795829362184656,0.0,-0.09933466539753064,-0.09983341664682815,0.7172437232139605,-0.00034800850299572853,0.6968222099950891,-0.0003578516698908829,-7.168952872688969,9.983341664682815,-89.43182084139417,0.0,-9.933466539753063,-9.983341664682815
0.03,-0.0013042664058787517,0.002985117672037259,-0.05387657943221309,-0.11450596543289245,0.19867835055689775,-2.6903174272659394,0.0,-0.19866933079506127,-0.1996668332936563,0.717934840446833,-0.001044024818744213,0.6961087001079096,-0.0010735542999066568,-7.070086349195623,9.884493391006961,-89.44880650812834,0.0,-9.933466539753063,-9.983341664682815
0.04,-0.00313655720318012,0.005940575000085267,-0.08972797242447841,-0.18322907973013686,0.29554573280480073,-3.5851392992265314,0.0,-0.2980039961925919,-0.29950024994048446,0.7189688459473724,-0.002088044978352405,0.6950358469679861,-0.002147103808897025,-6.872311429724442,9.686738224790297,-89.48218719605923,0.0,-9.933466539753063,-9.983341664682815
0.05,-0.005626402731633785,0.00983502851516414,-0.1345324435287922,-0.24898455284536647,0.38944535150788734,-4.480447110431379,0.0,-0.39733866159012254,-0.3993336665873126,0.7203425281227738,-0.003480056557498908,0.6936005520555937,-0.0035784874211277156,-6.575547311522961,9.38996187030866,-89.53078112048483,0.0,-9.933466539753063,-9.983341664682815
0.060000000000000005,-0.008734216274967614,0.014628882054538068,-0.18829619607423648,-0.31078135433338283,0.47938535393739273,-5.376375254544428,0.0,-0.4966733269876532,-0.4991670832341408,0.7220515929478716,-0.005220030911437275,0.6917986964836675,-0.005367675681656503,-6.179680148801634,8.99400024295054,-89.59281441130483,0.0,-9.933466539753063,-9.983341664682815
0.07,-0.012410487007322165,0.02027260042498278,-0.2510265405993088,-0.36762707323545507,0.5643718370444711,-6.27303445250723,0.0,-0.5960079923851839,-0.5990004998809689,0.7240906538755874,-0.007307912822212102,0.6896251517959171,-0.007514611810728354,-5.684571890207223,8.498648310707845,-89.66591979628022,0.0,-9.933466539753063,-9.983341664682815
0.08,-0.016595764947022657,0.026706685985386946,-0.32273159862808865,-0.4185277939700491,0.6434085560404165,-7.170505802877988,0.0,-0.6953426577827145,-0.698833916527797,0.7264532193651382,-0.009743607559040237,0.6870737935980532,-0.010019198398168953,-5.090072073459399,7.903671899594535,-89.74713503707585,0.0,-9.933466539753063,-9.983341664682815
0.09,-0.02122064614518937,0.033861653793306266,-0.40341994678513976,-0.4624881198166713,0.7154967807919319,-8.068834815705111,0.0,-0.7946773231802452,-0.7986673331746252,0.7291316781223022,-0.0125269653536538,0.6841375181102533,-0.012881281439624102,-4.396032584662226,7.208822475151547,-89.83290128271227,0.0,-9.933466539753063,-9.983341664682815
0.09999999999999999,-0.026205759882247305,0.04165800709247238,-0.4931002010968452,-0.4985113737057935,0.7796353299166113,-8.968025431170544,0.0,-0.8940119885777759,-0.8985007498214534,0.7321172821657487,-0.015657763293650297,0.6808082617456739,-0.016100631717776454,-3.602325388912221,6.413854912467939,-89.91906154654323,0.0,-9.933466539753063,-9.983341664682815
0.10999999999999999,-0.03146175994291442,0.050006215218195246,-0.5917805413640009,-0.5256000060667118,0.8348208125722862,-9.868034026715575,0.0,-0.9933466539753065,-0.9983341664682817,0.7354001278535983,-0.019135684638628223,0.6770770238359746,-0.019676923533453076,-2.708863236091825,5.518548265567496,-90.00085955450317,0.0,-9.933466539753063,-9.983341664682815
0.11999999999999998,-0.036889322337659854,0.05880669629823833,-0.6994681755565634,-0.5427562394745437,0.8800481080043079,-10.768763419256244,0.0,-1.092681319372837,-1.0981675831151099,0.7389691350250472,-0.022960295566185025,0.6729338926403361,-0.0236097107939009,-1.7156233407831873,4.5227295432021695,-90.07293925406684,0.0,-9.933466539753063,-9.983341664682815
0.12999999999999998,-0.04237915213517456,0.06794980742744963,-0.8161687442806284,-0.5489829797514707,0.9143111129211297,-11.6700568724065,0.0,-1.1920159847703677,-1.198000999761938,0.7428120244331144,-0.02713101935779752,0.6683680747892455,-0.027898400468533608,-0.622674027692705,3.4263004916821815,-90.12934531502565,0.0,-9.933466539753063,-9.983341664682815
0.13999999999999999,-0.047812002365036646,0.07731584529425914,-0.9418856655041571,-0.5432850229862082,0.9366037866809512,-12.571692122352875,0.0,-1.2913506501678984,-1.2978344164087663,0.74691529366641,-0.03164710803827315,0.6633679283282485,-0.032542223426225404,0.5697956765262528,2.2292673759821566,-90.16352499463746,0.0,-9.933466539753063,-9.983341664682815
0.15,-0.05305870824109941,0.0867750605348307,-1.0766194199057584,-0.5246705876062762,0.9459215240571549,-13.473375440160126,0.0,-1.390685315565429,-1.3976678330555945,0.7512641917803001,-0.036507611486931824,0.6579209995398346,-0.03754020267282516,1.8614435379931997,0.931773737620371,-90.16833178072511,0.0,-9.933466539753063,-9.983341664682815
0.16,-0.05798024024243101,0.096187689384537,-1.2203667774340166,-0.4921532001331604,0.9412628849706308,-14.37473575282581,0.0,-1.4900199809629597,-1.4975012497024227,0.7558426928810021,-0.04171134404403098,0.6520140637334768,-0.04289111901306856,3.2517387473115775,-0.4658639086524063,-90.13603126656832,0.0,-9.933466539753063,-9.983341664682815
0.17,-0.0624277798677373,0.1054040064844579,-1.373119965937332,-0.44475396253062943,0.9216317099920894,-15.275318850331551,0.0,-1.5893546463604904,-1.597334666349251,0.7606334689299787,-0.04725684864225725,0.6456331702044724,-0.048593474167555106,4.7399237602530935,-1.9631174978541353,-90.05830975057405,0.0,-9.933466539753063,-9.983341664682815
0.18000000000000002,-0.06624282214851535,0.11426440298028723,-1.534865783049772,-0.38150422807780426,0.8860396495829329,-16.174581711244006,0.0,-1.688689311758021,-1.6971680829960791,0.765617862060536,-0.05314235850045115,0.6387636915714691,-0.054645451383007776,6.324973445282515,-3.559206040915653,-89.92628609124557,0.0,-9.933466539753063,-9.983341664682815
0.19000000000000003,-0.06925730926266029,0.12259949431940537,-1.705584652900545,-0.3014487114144942,0.8335091339118136,-17.07188698507728,0.0,-1.7880239771555517,-1.7970014996429073,0.7707758567237476,-0.059365756425180397,0.6313903777102633,-0.06104487358272095,8.005551666331007,-5.25305156711193,-89.73052738332746,0.0,-9.933466539753063,-9.983341664682815
0.20000000000000004,-0.07129379983033578,0.13023026240545887,-1.8852496296566696,-0.20364905676754985,0.7630768086053501,-17.966497675612477,0.0,-1.8873586425530824,-1.8968349162897356,0.7760860520066895,-0.06592453177540092,0.623497414507455,-0.06778915911399827,9.779965464694435,-7.043232530646344,-89.46106905351948,0.0,-9.933466539753063,-9.983341664682815
0.21000000000000005,-0.07216567869355502,0.1369682370045863,-2.0738253504130983,-0.0871878863219237,0.6737974599127426,-18.857572075642853,0.0,-1.986693307950613,-1.9966683329365638,0.78152563449247,-0.07281573515631244,0.615068487661674,-0.07487527516055692,11.646117044562615,-8.927934869260747,-89.10744000303781,0.0,-9.933466539753063,-9.983341664682815
0.22000000000000006,-0.07167741217550888,0.14261572150888926,-2.2712669405143955,0.04882665180461379,0.5647484504302975,-19.74415901012971,0.0,-2.0860279733481435,-2.0965017495833917,0.7870703520585699,-0.08003593092068571,0.6060868517621525,-0.0822996889003895,13.60145381265375,-10.904900948244514,-88.65869344868563,0.0,-9.933466539753063,-9.983341664682815
0.23000000000000007,-0.06962485398007628,0.14696606834575648,-2.4775188750289883,0.20525581954325905,0.4350346836867215,-20.62519345145929,0.0,-2.185362638745674,-2.1963351662302197,0.7926944890375394,-0.08758114756947558,0.5965354048742492,-0.09005831650349458,15.642916773864526,-12.971376674357607,-88.10344413295799,0.0,-9.933466539753063,-9.983341664682815
0.24000000000000007,-0.0657956070204653,0.14980400947051917,-2.6925138008021765,0.3829246959610978,0.2837941124762693,-21.499492577318808,0.0,-2.284697304143205,-2.2961685828770477,0.7983708431920008,-0.09544682615848478,0.5863967688588901,-0.09814647007926065,17.766887641783875,-15.124057121045219,-87.429912585952,0.0,-9.933466539753063,-9.983341664682815
0.25000000000000006,-0.05996944655232143,0.15090604748839243,-2.9161713242879888,0.5826160468143872,0.11020380178732678,-22.36575234858123,0.0,-2.3840319695407355,-2.3960019995238757,0.8040707049840619,-0.10362776683425763,0.5756533756476077,-0.10655880270016646,19.969135085328936,-17.35903106889425,-86.6259771262419,0.0,-9.933466539753063,-9.983341664682815
0.26000000000000006,-0.05191881002412886,0.15004091301292005,-3.1483967712021093,0.8050636528192567,-0.08651344754723825,-23.222544691412054,0.0,-2.483366634938266,-2.4958354161707037,0.8097638396475367,-0.11211807364029926,0.5642875596866976,-0.11528925164688435,22.24476060048696,-19.671724933456503,-85.67923428308269,0.0,-9.933466539753063,-9.983341664682815
0.2700000000000001,-0.04140935903904374,0.14697009387483642,-3.389079924946919,1.050945098508512,-0.3070819138083638,-24.068315374480967,0.0,-2.582701300335797,-2.5956688328175317,0.8154184725995912,-0.12091109775416214,0.5522816567527468,-0.1243309800398692,24.58814456892553,-22.05684662611256,-84.57706830689132,0.0,-9.933466539753063,-9.983341664682815
